record,uuid,date,markers,status,quarter,QCountry,QDomestic,QGDPR,QState,QBorn,QRegion,QAge,AgeR,QGeneration,Q100r1,Q100r2,Q100r3,Q100r4,Q100r5,Q100r6,Q100r7,Q100r8,Q100r9,Q100r10,Q110r1,Q110r2,Q110r3,Q110r4,Q110r5,Q110r6,Q110r997,Q110r998,Q110r999,Q120,Q130,Q140,Q201r1,Q201r2,Q201r3,Q201r4,Q201r5,Q201r6,Q201r7,Q201r8,Q201r9,Q201r10,Q201r11,Q201r12,Q201r13,Q201r14,Q201r15,Q201r16,Q202r1,Q202r2,Q202r3,Q202r4,Q202r5,Q202r6,Q202r7,Q202r8,Q203r1,Q203r2,Q203r3,Q203r4,Q203r5,Q203r6,Q203r7,Q203r8,Q203r9,Q203r10,Q203r11,Q203r12,Q203r13,Q203r14,Q203r15,Q203r16,Q204r1,Q204r2,Q204r3,Q204r4,Q204r5,Q204r6,Q204r7,Q204r8,Q204r9,Q204r10,QJob,QJobr97oe,QIndustry,QIndustryr97oe,QRevenue,QEmployees,Exit,vlist,qtime,vos,vosr15oe,vbrowser,vbrowserr15oe,vmobiledevice,vmobileos,start_date,vdropout,ipAddress,source,decLang,list,userAgent,fp_etag,fp_html5,fp_flash,fp_browser,dcua,url,session,sesskey,identifier,speeder,qtime_min,filter_$,SL,Q100_SD,Q201_SD,SL_Count,gibberish_Exit,gibberish_count,strikes,Total,QIndustryBanner
698,466bt81r8g6tgjyg,3/18/21 16:23,"qualified,/Total/Total,/Industry/OoKbM,20210318_05:19_v3",3,1,1,1,1,9,1946,3,75,7,3,7,4,5,4,8,10,8,9,4,7,0,0,0,0,0,0,1,0,0,3,4,5,3,2,2,2,3,4,1,3,2,3,2,3,3,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,30, ,2, ,2,1, ,1,1579.87,13, ,11, ,5,6,3/18/21 15:57, ,99.173.53.137, , ,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",63umbd5n079k19tw,mr5wg5v8hy93jdsx, , ,..,/survey/selfserve/2135/210303?identifier=K_lnt8tyiuyr&sesskey=g1tovz5ovm9b4qe2,13sqszdd0q4vn2g2,g1tovz5ovm9b4qe2,K_lnt8tyiuyr,0,26.33116667,0,0,2.221110833,0.806225775,0,0,0,0,1,1
699,9cqec12e10v26xcg,3/18/21 16:09,"qualified,/Total/Total,/Industry/OoKbM,20210318_05:19_v3",3,1,1,1,1,5,1941,4,80,7,2,9,9,9,10,9,9,9,7,9,10,0,0,0,0,0,1,0,0,0,7,7,7,3,3,3,3,3,3,1,3,3,3,3,3,4,1,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,2, ,2,1,"Just a note, our HVAC and Plumbing Repair Company did better in 2020 than in 2019.  We believe it was because we were willing to work to serve customers and many companies were not willing to risk exposure to Covid.  Our customers still wanted to stay cool or warm and flush their toilets.",1,608.64,4, ,10, ,5,6,3/18/21 15:58, ,40.94.250.69, , ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36",n0u1a6pbp6kbarwm,fv3cqkeedc5ngur6, , ,..,/survey/selfserve/2135/210303?identifier=K_0caswh5m6c&sesskey=g3gxr3dsew3zmcy9,3t67bcmjx8egnvs1,g3gxr3dsew3zmcy9,K_0caswh5m6c,0,10.144,0,0,0.816496581,0.75,0,0,0,0,1,1
702,ym5g5s9c42k78f14,3/18/21 16:15,"qualified,/Total/Total,/Industry/OoKbM,20210318_05:19_v3",3,1,1,1,1,9,1961,3,60,6,3,10,1,5,2,9,2,3,98,2,9,0,0,0,0,0,0,1,0,0,2,3,3,3,3,3,3,3,3,1,3,3,1,3,3,3,3,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,30, ,2, ,2,2, ,1,451.73,13, ,11, ,5,6,3/18/21 16:07, ,184.90.74.91, , ,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",5csgxn26hqkhdwnr,1y4pkn0zr5knex3d, , ,..,/survey/selfserve/2135/210303?identifier=K_d474d59fe1&sesskey=g3g9b6da1x0pqln2,1y4pkn0zr5knex3d,g3g9b6da1x0pqln2,K_d474d59fe1,0,7.528833333,0,0,29.67396914,0.87321246,0,0,0,0,1,1
705,3ctg4nr82rf0wh12,3/18/21 16:21,"qualified,/Total/Total,/Industry/OoKbM,20210318_05:19_v3",3,1,1,1,1,21,1955,1,66,6,3,10,8,8,7,8,8,9,9,9,8,0,1,0,0,0,0,0,0,0,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25, ,2, ,3,1, ,1,324.12,13, ,10, ,5,6,3/18/21 16:15, ,100.0.189.3, , ,1,"Mozilla/5.0 (X11; CrOS x86_64 13729.45.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36",0meum65ebwuxa20b,anfccrt3cjd6uff1, , ,..,/survey/selfserve/2135/210303?identifier=K_fc02be857f&sesskey=g0h0jj7vj9xlk2f2,anfccrt3cjd6uff1,g0h0jj7vj9xlk2f2,K_fc02be857f,0,5.402,1,0,0.843274043,0.403112887,0,0,0,0,1,1
707,ekxfr9sg9txsk68x,3/18/21 16:22,"qualified,/Total/Total,/Industry/OoKbM,20210318_05:19_v3",3,1,1,1,1,5,1969,4,52,5,4,7,7,7,7,98,7,98,10,10,7,0,0,0,0,1,1,0,0,0,5,2,0,4,2,4,4,4,3,1,4,4,2,1,3,2,2,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2, ,1,1, ,1,170.26,5, ,10, ,5,6,3/18/21 16:19, ,40.94.227.27, , ,1,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36",6k5gtd36b6q4c2v7,jruh756yndnd20z1, , ,..,/survey/selfserve/2135/210303?identifier=K_6v680qi027&sesskey=g2vebhqtz0vu25ka,jruh756yndnd20z1,g2vebhqtz0vu25ka,K_6v680qi027,0,2.837666667,1,0,38.07244556,1.154700538,0,0,0,0,1,1
708,t5y85t2czhvwcpsy,3/18/21 16:29,"qualified,/Total/Total,/Industry/OoKbM,20210318_05:19_v3",3,1,1,1,1,6,1959,4,62,6,3,3,1,1,3,10,6,10,7,3,4,0,0,0,0,1,1,0,0,0,7,7,4,3,4,4,3,2,4,1,3,3,3,1,3,3,1,1,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, ,2, ,5,5, ,1,560.68,4, ,10, ,5,6,3/18/21 16:20, ,209.140.8.131, , ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36",4exh298t419sp9r3,j4c5zyxy51drefpa, , ,..,/survey/selfserve/2135/210303?identifier=K_u7rnjg5h0f&sesskey=g3lod2pgq044rhyy,nm5sg17exvrv09ch,g3lod2pgq044rhyy,K_u7rnjg5h0f,0,9.344666667,0,0,3.326659987,1.087811258,0,0,0,0,1,1
721,yqnv10q1x71qbrk0,3/18/21 16:54,"qualified,/Total/Total,/Industry/OoKbM,20210318_05:19_v3",3,1,1,1,1,36,1963,3,58,5,3,9,9,10,10,9,10,9,9,8,9,0,1,0,0,0,0,0,0,0,3,5,3,3,3,2,3,2,3,2,3,3,3,2,3,3,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,2, ,2,1, ,1,258.66,14, ,10, ,1,2,3/18/21 16:50, ,24.139.44.227, , ,1,"Mozilla/5.0 (Linux; Android 9; SAMSUNG SM-G955U) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/13.2 Chrome/83.0.4103.106 Mobile Safari/537.36",68rksa09uc37h4h2,kxv04ch7chgmg1h0, , ,sa,/survey/selfserve/2135/210303?identifier=K_k66u1oykty&sesskey=g0evqk5sg21yztic&mobile=yes,u46084vxk1yqt1aw,g0evqk5sg21yztic,K_k66u1oykty,0,4.311,1,0,0.632455532,0.632455532,0,0,0,0,1,1
723,dfwmt352t721fdmp,3/18/21 16:57,"qualified,/Total/Total,/Industry/OoKbM,20210318_05:19_v3",3,1,1,1,1,9,1962,3,59,5,3,6,6,6,5,7,6,7,3,6,6,0,0,0,0,0,1,0,0,0,5,4,5,3,2,3,2,2,3,1,2,2,1,2,1,2,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,31, ,2, ,13,7, ,1,366.98,12, ,11, ,1,1,3/18/21 16:51, ,71.214.175.103, , ,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Mobile/15E148 Safari/604.1",fnx0awcgvkh19m3z,agz46141pg06ub84, , ,si,/survey/selfserve/2135/210303?identifier=K_mkt5wp43mi&sesskey=g3kfti3su2reaiyq&mobile=yes,agz46141pg06ub84,g3kfti3su2reaiyq,K_mkt5wp43mi,0,6.116333333,1,0,1.135292424,0.718795288,0,0,0,0,1,1
726,1cgyxwe6g1c38w7f,3/18/21 17:12,"qualified,/Total/Total,/Industry/OoKbM,20210318_05:19_v3",3,1,1,1,1,16,1970,2,51,5,4,8,7,8,8,9,8,8,10,9,4,0,0,0,0,0,1,0,0,0,4,5,5,3,4,4,4,4,4,4,3,4,3,3,3,3,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15, ,2, ,5,5, ,1,362.7,14, ,10, ,1,2,3/18/21 17:06, ,67.48.18.227, , ,1,"Mozilla/5.0 (Linux; Android 11; SM-N981U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Mobile Safari/537.36",59n5nnq4uf4646rj,cvzyb2v7b988xwgf, , ,sa,/survey/selfserve/2135/210303?identifier=K_hsft9qdpr8&sesskey=g3i2vomu7v10ky9v&mobile=yes,cvzyb2v7b988xwgf,g3i2vomu7v10ky9v,K_hsft9qdpr8,0,6.045,1,0,1.595131482,0.5,0,0,0,0,1,1
739,04sp4qwpw9zjymak,3/18/21 17:59,"qualified,/Total/Total,/Industry/OoKbM,20210318_05:19_v3",3,1,1,1,1,5,1965,4,56,5,4,10,7,7,10,8,10,10,9,10,10,0,0,0,0,0,0,1,0,0,7,0,0,3,1,3,3,3,3,1,1,2,1,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, ,2, ,13,5,We’re we better off 24 months ago,1,297.2,13, ,11, ,5,6,3/18/21 17:54, ,73.92.147.56, , ,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",bn0fk6ja2j3j4jp8,tmncee9aycnqeyvm, , ,..,/survey/selfserve/2135/210303?identifier=K_zta4d41wf9&sesskey=g0eu1kkqg2926fbs,tmncee9aycnqeyvm,g0eu1kkqg2926fbs,K_zta4d41wf9,0,4.953333333,1,0,1.286683938,0.946484724,0,0,0,0,1,1
740,djnw6va76t73j54z,3/18/21 18:07,"qualified,/Total/Total,/Industry/OoKbM,20210318_05:19_v3",3,1,1,1,1,9,1947,3,74,7,3,4,4,5,5,5,1,7,10,7,5,0,0,0,0,0,1,0,0,0,4,4,4,1,3,3,3,1,3,2,3,3,3,3,3,3,1,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,2, ,3,3, ,1,221.4,14, ,10, ,1,2,3/18/21 18:03, ,73.156.122.201, , ,1,"Mozilla/5.0 (Linux; Android 9; LM-G710VM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Mobile Safari/537.36",vf7r3au4zk59p3rx,rgc7p5fhbt961dn2, , ,sa,/survey/selfserve/2135/210303?identifier=K_hqxx7vp5fc&sesskey=g3rtav16g4i2jyvj&mobile=yes,rgc7p5fhbt961dn2,g3rtav16g4i2jyvj,K_hqxx7vp5fc,0,3.69,1,0,2.359378449,0.81394103,0,0,0,0,1,1
749,3tqf2e3xe5hh03n8,3/18/21 19:28,"qualified,/Total/Total,/Industry/OoKbM,20210318_05:19_v3",3,1,1,1,1,12,1944,4,77,7,2,10,7,7,10,10,98,10,10,10,10,0,0,0,0,0,0,0,0,1,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,30, ,2, ,99,1, ,1,527.07,3, ,12, ,5,6,3/18/21 19:19, ,216.57.173.129, , ,1,Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:68.0) Gecko/20100101 Goanna/4.8 Firefox/68.0 PaleMoon/29.1.0,zpmjhns76epbh3dt,gv19py0mmass6wxb, , ,..,/survey/selfserve/2135/210303?identifier=K_95hrdd02ar&sesskey=g1odiuv7iz2xj5re,gv19py0mmass6wxb,g1odiuv7iz2xj5re,K_95hrdd02ar,0,8.7845,0,1,28.06658749,0,1,0,0,1,1,1
753,ekfj7m0dg13w805d,3/18/21 20:01,"qualified,/Total/Total,/Industry/OoKbM,20210318_05:19_v3",3,1,1,1,1,5,1970,4,51,5,4,5,3,4,7,6,10,6,8,1,10,0,0,0,0,0,0,0,1,0,5,7,6,3,4,4,3,4,4,1,2,4,3,3,3,1,1,3,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,2, ,7,4, ,1,248.96,12, ,11, ,1,1,3/18/21 19:57, ,172.113.89.153, , ,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.4 Mobile/15E148 DuckDuckGo/7 Safari/605.1.15",gsysb5ztjpfhjb2p,e4res27qcmjwyn15, , ,si,/survey/selfserve/2135/210303?identifier=K_d3h8pudgph&sesskey=g0evqjxwbm3vxpi1&mobile=yes,e4res27qcmjwyn15,g0evqjxwbm3vxpi1,K_d3h8pudgph,0,4.149333333,1,0,2.905932629,1.123610253,0,0,0,0,1,1
756,qxd467w8nnxx1qyg,3/18/21 20:36,"qualified,/Total/Total,/Industry/OoKbM,20210318_05:19_v3",3,1,1,1,1,14,1977,2,44,4,4,6,6,6,6,6,6,6,6,8,7,0,0,0,0,1,0,0,0,0,7,6,6,2,2,1,2,2,2,1,2,2,2,2,2,2,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, ,2, ,6,5, ,1,135.71,4, ,10, ,5,6,3/18/21 20:34, ,73.72.121.229, , ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36",w7ud2b0qqaer6hvt,xewnk01a9670617y, , ,..,/survey/selfserve/2135/210303?identifier=K_0pt862689s&sesskey=g2xq3cpjvv0hd5su,gwhhgemaahk4w89r,g2xq3cpjvv0hd5su,K_0pt862689s,0,2.261833333,1,0,0.674948558,0.447213595,0,0,0,0,1,1
758,rzdgse3czr0sa9bc,3/18/21 21:10,"qualified,/Total/Total,/Industry/OoKbM,20210318_05:19_v3",3,1,1,1,1,37,1992,4,29,2,5,9,6,7,7,8,9,8,3,6,9,0,0,0,0,1,1,0,0,0,10,7,7,4,1,1,4,1,1,1,3,1,3,1,4,1,1,4,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,30, ,2, ,1,1, ,1,170.21,13, ,10, ,5,6,3/18/21 21:07, ,50.39.119.215, , ,1,"Mozilla/5.0 (X11; CrOS x86_64 13729.45.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36",420ubdge9knnnu7b,5sj6guqcje7c2uwm, , ,..,/survey/selfserve/2135/210303?identifier=K_5ndewo1npy&sesskey=g3502p5kz1rdq9rr,5sj6guqcje7c2uwm,g3502p5kz1rdq9rr,K_5ndewo1npy,0,2.836833333,1,0,1.87379591,1.360147051,0,0,0,0,1,1
759,rqe1xvhrcgpjwqkw,3/18/21 21:23,"qualified,/Total/Total,/Industry/OoKbM,20210318_05:19_v3",3,1,1,1,1,5,1966,4,55,5,4,7,4,5,7,7,7,7,5,6,5,0,0,0,0,0,0,1,0,0,1,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,2, ,1,1, ,1,181.46,4, ,10, ,5,6,3/18/21 21:19, ,73.222.70.218, , ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36",j7zjxz0ky9pc8kge,hbfu7psb1e9negue, , ,..,/survey/selfserve/2135/210303?identifier=K_n502bv8si2&sesskey=g2htoenszqqnu6v1,du8wt5fqv251vksn,g2htoenszqqnu6v1,K_n502bv8si2,0,3.024333333,1,0,1.154700538,0.543905629,0,0,0,0,1,1
766,3a468vxm7t4t9f9p,3/19/21 1:17,"qualified,/Total/Total,/Industry/OoKbM,20210318_05:19_v3",3,1,1,1,1,2,1973,4,48,4,4,10,4,3,3,8,6,8,6,6,7,0,0,0,0,0,1,0,0,0,6,7,3,1,2,4,3,4,3,1,1,4,1,3,4,3,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, ,2, ,5,3, ,1,265.5,4, ,10, ,5,6,3/19/21 1:13, ,199.200.6.160, , ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36",2x36dypr1pnkewy5,quc9sem29f5qkzs0, , ,..,/survey/selfserve/2135/210303?identifier=K_guq0ulx8k4&sesskey=g3ms2kexadc031pz,hbws8108rgv9aapj,g3ms2kexadc031pz,K_guq0ulx8k4,0,4.425,1,0,2.282785822,1.258305739,0,0,0,0,1,1
768,g63c29fx6sxqagsd,3/19/21 1:33,"qualified,/Total/Total,/Industry/OoKbM,20210318_05:19_v3",3,1,1,1,1,14,1955,2,66,6,3,6,6,6,6,10,10,8,6,8,10,0,0,0,0,0,1,0,0,0,5,5,5,3,3,3,3,3,3,3,2,3,3,3,3,3,3,1,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2, ,2,1, ,1,214.33,4, ,10, ,5,6,3/19/21 1:29, ,98.253.77.224, , ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.54",9uhhb4cytz2tqy6s,stmrb7fza71cx4ay, , ,..,/survey/selfserve/2135/210303?identifier=K_zau1b0djx6&sesskey=g2s23vlnn3wlae19,stmrb7fza71cx4ay,g2s23vlnn3wlae19,K_zau1b0djx6,0,3.572166667,1,0,1.837873167,0.543905629,0,0,0,0,1,1
769,f94s027bn3q4u2px,3/19/21 2:18,"qualified,/Total/Total,/Industry/OoKbM,20210318_05:19_v3",3,1,1,1,1,19,1964,1,57,5,3,10,1,1,1,7,10,9,9,10,10,0,0,0,0,0,1,0,0,0,10,7,5,3,3,3,3,3,3,3,3,3,3,1,3,1,1,1,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,27, ,2, ,4,3, ,1,227.26,4, ,12, ,5,6,3/19/21 2:14, ,40.94.227.67, , ,1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,278nw9gzwkzuhhdk,mzemqkpcmhwecmaw, , ,..,/survey/selfserve/2135/210303?identifier=K_4txhc967hc&sesskey=g0aqaldy7pjsuvbn,k0h7ng0mx2q3ruja,g0aqaldy7pjsuvbn,K_4txhc967hc,0,3.787666667,1,0,4.104198392,0.894427191,0,0,0,0,1,1
770,zbgur6st68tf8dxy,3/19/21 2:30,"qualified,/Total/Total,/Industry/OoKbM,20210318_05:19_v3",3,1,1,1,1,29,1952,1,69,6,3,8,8,7,8,8,8,10,5,8,6,0,0,0,0,0,0,1,0,0,3,2,2,3,3,3,3,3,3,1,3,3,3,2,3,3,2,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,2, ,4,2, ,1,245.19,5, ,10, ,5,6,3/19/21 2:26, ,74.75.147.138, , ,1,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36 Edg/89.0.774.48",5qst5zrcju187ree,dep9p2man0bhsmh8, , ,..,/survey/selfserve/2135/210303?identifier=K_b85f535d84&sesskey=g2d80w0tvni5ancg,69sm87m2kuv3ve2a,g2d80w0tvni5ancg,K_b85f535d84,0,4.0865,1,0,1.349897115,0.577350269,0,0,0,0,1,1
771,m5u71kewebyxe297,3/19/21 2:55,"qualified,/Total/Total,/Industry/OoKbM,20210318_05:19_v3",3,1,1,1,1,9,1979,3,42,4,4,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,1,0,0,0,1,1,1,1,2,2,2,2,2,1,2,2,1,2,2,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,2, ,2,1, ,1,151.82,4, ,10, ,5,6,3/19/21 2:52, ,67.233.144.72, , ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36",x100a5rs2xbr4h21,5re071xbj132rsgk, , ,..,/survey/selfserve/2135/210303?identifier=K_08ebfe762c&sesskey=g0liqe63jchza97q,ypurxwvq4338fx5t,g0liqe63jchza97q,K_08ebfe762c,0,2.530333333,1,1,0,0.5,1,0,0,1,1,1
773,ca9yd7g5fy8xvn7g,3/19/21 3:24,"qualified,/Total/Total,/Industry/OoKbM,20210318_05:19_v3",3,1,1,1,1,20,1956,3,65,6,3,6,4,5,5,7,10,8,10,5,6,0,0,0,0,0,1,0,0,0,6,7,5,1,1,4,4,1,1,1,1,2,1,4,3,1,3,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,2, ,6,4, ,1,416.61,4, ,10, ,5,6,3/19/21 3:17, ,40.94.30.224, , ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.54",44yynd304kk78uu3,4pze8knx8yn13huc, , ,..,/survey/selfserve/2135/210303?identifier=K_moj1nqcdr4&sesskey=g0ekapdvfcx2cxim,v0vfxdxjdraav988,g0ekapdvfcx2cxim,K_moj1nqcdr4,0,6.9435,1,0,2.118699811,1.258305739,0,0,0,0,1,1
776,58uk0r8krgdan99m,3/19/21 4:03,"qualified,/Total/Total,/Industry/OoKbM,20210318_05:19_v3",3,1,1,1,1,10,1971,3,50,5,4,10,7,10,10,7,10,10,10,7,7,0,0,0,0,1,0,0,0,0,3,3,0,4,4,2,4,4,4,4,3,2,3,1,4,1,2,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,2, ,1,1, ,1,689.53,12, ,11, ,1,1,3/19/21 3:51, ,69.131.195.36, , ,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Mobile/15E148 Safari/604.1",sp7n7bsmurb2m6f9,9gdbbrvxrcn00ws4, , ,si,/survey/selfserve/2135/210303?identifier=K_8qxqx3hlmm&sesskey=g2hwzvj3ynl3syk4&mobile=yes,9gdbbrvxrcn00ws4,g2hwzvj3ynl3syk4,K_8qxqx3hlmm,0,11.49216667,0,0,1.549193338,1.154700538,0,0,0,0,1,1
778,tjcrpne734pppsfb,3/19/21 4:32,"qualified,/Total/Total,/Industry/OoKbM,20210318_05:19_v3",3,1,1,1,1,38,1980,1,41,4,4,8,7,7,8,9,9,8,7,8,3,0,0,0,0,0,1,0,0,0,3,3,6,3,3,3,3,3,1,1,3,1,3,3,3,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,2, ,5,2, ,1,164.56,4, ,10, ,5,6,3/19/21 4:29, ,50.254.170.105, , ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36",vdb6bqxmymnqapq7,u9ecj210rnbx9tsq, , ,..,/survey/selfserve/2135/210303?identifier=K_igjybp1usf&sesskey=g2i0p0yzuoqgpdk1,xqxkc2cwnxv23jkz,g2i0p0yzuoqgpdk1,K_igjybp1usf,0,2.742666667,1,0,1.712697677,1.024695077,0,0,0,0,1,1
781,k3rvfuqe499ream3,3/19/21 4:38,"qualified,/Total/Total,/Industry/OoKbM,20210318_05:19_v3",3,1,1,1,1,7,1954,1,67,6,3,4,4,4,4,8,6,7,7,7,7,0,0,0,0,1,0,0,0,0,6,6,5,3,3,3,3,3,3,1,3,3,1,2,3,3,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,2, ,7,4, ,1,167.59,4, ,10, ,5,6,3/19/21 4:35, ,73.17.255.134, , ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36",tc080d14y30nn4zp,u5z93fktg7j8rz6g, , ,..,/survey/selfserve/2135/210303?identifier=K_6aconwtou0&sesskey=g3aty4wazrjh5yh9,7yv0p03was7nwg9b,g3aty4wazrjh5yh9,K_6aconwtou0,0,2.793166667,1,0,1.619327707,0.885061203,0,0,0,0,1,1
784,nw1jjvzupft6ekr9,3/19/21 4:57,"qualified,/Total/Total,/Industry/OoKbM,20210318_05:19_v3",3,1,1,1,1,9,1957,3,64,6,3,6,7,7,7,8,8,8,5,7,5,0,0,0,0,0,1,0,0,0,5,5,6,4,1,1,2,1,4,1,1,1,1,2,3,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,32, ,2, ,14,7,No,1,291.8,4, ,10, ,5,6,3/19/21 4:52, ,12.27.17.60, , ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36",a9aaf6br7xt6vgcs,2b65yuw4w2cvzdka, , ,..,/survey/selfserve/2135/210303?identifier=K_z7tcwigrue&sesskey=g3h1ubi9bbjo67y6,j7493z2ecrza7y3g,g3h1ubi9bbjo67y6,K_z7tcwigrue,0,4.863333333,1,0,1.135292424,1.087811258,0,0,0,0,1,1
